recording date,grid position,session ID,trellis filenumber,mat filename,iontophoresis,voltage,isolation quality,plx file range,included trials,electode broken?,comment/electrode,general comment,included to analysis ?,excluded due to electordes,
03/24/16,"-3,-3",1,1,ka_0001_13.46.grating.XPos.mat,,,5,,,no,,,,,
03/30/2016,"-1,-3",3,,ka_0003_11.53.grating.XPos.mat,,,5,,,no,,,,,
,,,,ka_0003_11.54.grating.XPos.mat,,,5,,,,,,,,
,,,,ka_0003_11.56.grating.YPos.mat,,,5,,,,,,,,
,,,,ka_0003_11.57.grating.YPos.mat,,,5,,,,,,,,
,,,,ka_0003_11.59.grating.ORxM.mat,,,5,,,,,,,,
,,,,ka_0003_12.08.grating.ORxM.mat,,,5,,,,,,,,
,,4,1,ka_0004_12.31.grating.XPos.mat,,,5,,,no,,more MUA,,,
,,,3,ka_0004_12.33.grating.YPos.mat,,,4,,,,,,,,
,,,4,ka_0004_12.34.grating.YPos.mat,,,2.5,,,,,,,,
,,,5,ka_0004_12.35.grating.SF.mat,,,3,,,,,,,,
,,,6,ka_0004_12.36.grating.SF.mat,,,3,,,,,,,,
,,,7,ka_0004_12.36.grating.CO.mat,control,,3,,,,,,,,
,,,8,ka_0004_12.37.grating.CO.mat,5HT_10nA,0.7,3.5,,,,,,,,
,,,9,ka_0004_12.39.grating.CO.mat,control,,3.5,,,,,,,,
,,,10,ka_0004_12.40.grating.CO.mat,control,,4,,,,,,,,
,,,11,ka_0004_12.42.grating.OR.mat,control,,4,18-end,26-end,,,,,,
,,,12,ka_0004_12.43.grating.OR.mat,5HT_10nA,0.5,4,,,,,,,,
,,,14,ka_0004_12.45.grating.TF.mat,control,,4,,,,,,,,
,,,15,ka_0004_12.47.grating.OR.mat,control,,4,,,,,,,,
,,,16,ka_0004_12.51.grating.OR.mat,control,,4,,,,,,,,
,,,17,ka_0004_12.53.grating.OR.mat,control,,4,,,,,,,,
,,,18,ka_0004_12.54.grating.OR.mat,NaCl_10nA,0,4,,,,,,,,
,,,20,ka_0004_12.57.grating.ORxCOxRC.mat,control,,4.5,,,,,,,,
,,,21,ka_0004_13.06.grating.ORxCOxRC.mat,5HT_10nA,0.7,4.5,0-650,1-270,,after 170 trials, 5 nA (0.3V),,,,
,,5,4,ka_0005_14.00.grating.XPos.mat,,,5,,,no,,,,,
,,,5,ka_0005_14.01.grating.YPos.mat,,,3.5,,,,,,,,
