;grid position;session ID;trellis filenumber;mat filename;iontophoresis;voltage;isolation quality;plx file range;included trials;electrode broken?;comment/electrode;general comment;included to analysis ?;excluded due to electordes;;;;;;;;;;;;
11.05.14;" +5;-7";0001;1;ma_0001_11.33AM.grating.ORxRC;;;5;;;;;not possible combine with data;;;;;;;;;;;;;;
;;;1;ma_0001_11.35AM.grating.ORxRC;;;5;;;;;;;;;;;;;;;;;;;
;;0002;1;ma_0002_12.11PM.grating.XPos;;;4;;;;;not possible combine with data;;;;;;;;;;;;;;
;;;1;ma_0002_12.13PM.grating.YPos;;;4;;;;;;;;;;;;;;;;;;;
;;;1;ma_0002_12.14PM.grating.YPos;;;4;;;;;;;;;;;;;;;;;;;
;;;1;ma_0002_12.15PM.grating.ORxM;;;4;;;;;;;;;;;;;;;;;;;
;;;1;ma_0002_12.31PM.grating.XPos;;;4;;;;;;;;;;;;;;;;;;;
;;;1;ma_0002_12.33PM.grating.YPos;;;4;;;;;;;;;;;;;;;;;;;
;;;1;ma_0002_12.35PM.grating.ORxM;;;4;;;;;;;;;;;;;;;;;;;
;;;1;ma_0002_12.53PM.grating.XPos;;;4;;;;;;;;;;;;;;;;;;;
;;0003;1;ma_0004_1.00PM.grating.SFxM;;;5;;;;;not possible combine with data;;;;;;;;;;;;;;
;;;1;ma_0004_1.02PM.grating.TF;;;5;;;;;;;;;;;;;;;;;;;
;;;1;ma_0004_1.04PM.grating.ORxRC;;;5;;;;;;;;;;;;;;;;;;;
;;;1;ma_0004_1.08PM.grating.ORxM;;;5;;;;;;;;;;;;;;;;;;;
;;;1;ma_0004_1.12PM.grating.ORxM;;;5;;;;;;;;;;;;;;;;;;;
;;;1;ma_0004_1.13PM.grating.ORxM;;;5;;;;;;;;;;;;;;;;;;;
;;;1;ma_0004_1.14PM.grating.ORxM;;;5;;;;;;;;;;;;;;;;;;;
;;0004;1;ma_0004_12.53PM.grating.XPos;;;5;;;;;not possible combine with data;;;;;;;;;;;;;;
;;;1;ma_0004_12.55PM.grating.YPos;;;5;;;;;;;;;;;;;;;;;;;
;;;2;ma_0004_12.56PM.grating.ORxM;;;4.5;;;;;;;;;;;;;;;;;;;
;;;2;ma_0004_12.57PM.grating.ORxM;;;4.5;;;;;;;;;;;;;;;;;;;
11.06.14;NaN;0005;1;ma_0005_1.16PM.grating.XPos;;;5;;;;;not possible combine with data;;;;;;;;;;;;;;
;;;1;ma_0005_1.17PM.grating.YPos;;;5;;;;;;;;;;;;;;;;;;;
;;;1;ma_0005_1.18PM.grating.ORxM;;;5;;;;;;;;;;;;;;;;;;;
;;;1;ma_0005_1.19PM.grating.ORxM;;;5;;;;;;;;;;;;;;;;;;;
;;;1;ma_0005_1.22PM.grating.SFxM;;;5;;;;;;;;;;;;;;;;;;;
;;;1;ma_0005_1.24PM.grating.TF;;;5;;;;;;;;;;;;;;;;;;;
;;;1;ma_0005_1.26PM.grating.TF;;;5;;;;;;;;;;;;;;;;;;;
;;;1;ma_0005_1.28PM.grating.SZ;;;5;;;;;;;;;;;;;;;;;;;
;;;1;ma_0005_1.33PM.grating.ORxM;;;5;;;;;;;;;;;;;;;;;;;
;;;1;ma_0005_1.34PM.grating.ORxM;;;5;;;;;;;;;;;;;;;;;;;
;;;1;ma_0005_1.36PM.grating.ORxM;;;5;;;;;;;;;;;;;;;;;;;
;;;1;ma_0005_1.39PM.grating.ORxRC;;;5;;;;;;;;;;;;;;;;;;;
;;;1;ma_0005_1.42PM.grating.ORxRC;;;5;;;;;;;;;;;;;;;;;;;
;;;1;ma_0005_1.49PM.grating.ORxM;;;5;;;;;;;;;;;;;;;;;;;
;;;1;ma_0005_2.21PM.grating.OR;;;5;;;;;;;;;;;;;;;;;;;
;;0006;1;ma_0006_2.36PM.grating.XPos;;;5;;;;;not possible combine with data;;;;;;;;;;;;;;
;;;1;ma_0006_2.37PM.grating.YPos;;;5;;;;;;;;;;;;;;;;;;;
;;;1;ma_0006_2.38PM.grating.ORxM;;;5;;;;;;;;;;;;;;;;;;;
;;;1;ma_0006_2.41PM.grating.SFxM;;;5;;;;;;;;;;;;;;;;;;;
;;0007;1;ma_0006_2.43PM.grating.TF;;;5;;;;;not possible combine with data;;;;;;;;;;;;;;
;;;1;ma_0006_2.47PM.grating.OR.mat;;;5;;;;;;;;;;;;;;;;;;;
;;;1;ma_0007_3.38PM.grating.ORxM;;;5;;;;;;;;;;;;;;;;;;;
;;;1;ma_0007_3.45PM.grating.OR.mat;;;5;;;;;;;;;;;;;;;;;;;
11/11/14;+6,-7;0008;1;ma_0008_3.01PM.grating.XPos;;;5;;;NaN;;MUA;1;;;;;;;;;;;;;
;;;1;ma_0008_3.03PM.grating.YPos;;;5;;;;;MUA;;;;;;;;;;;;;;
;;;1;ma_0008_3.04PM.grating.ORxM;control;;5;;;;;;;;;;;;;;;;;;;
;;0009;1;ma_0009_3.21PM.grating.XPos;;;2;;;NaN;;;1;;;;;;;;;;;;;
;;;1;ma_0009_3.22PM.grating.YPos;;;2;;;;;;;;;;;;;;;;;;;
;;;1;ma_0009_3.24PM.grating.ORxM;control;;5;;;;;;;;;;;;;;;;;;;
;;;1;ma_0009_3.28PM.grating.SFxM;control;;5;;;;;;;;;;;;;;;;;;;
;;;1;ma_0009_3.30PM.grating.TF.mat;control;;5;;;;;;;;;;;;;;;;;;;
;;0010;1;ma_0010_3.50PM.grating.XPos;;;3.5;;;NaN;;;1;;;;;;;;;;;;;
;;;1;ma_0010_3.51PM.grating.XPos;;;3.5;;;;;;;;;;;;;;;;;;;
;;;1;ma_0010_3.53PM.grating.YPos;;;3.5;;;;;;;;;;;;;;;;;;;
;;;1;ma_0010_3.55PM.grating.ORxM;control;;3.5;;;;;;;;;;;;;;;;;;;
;;;1;ma_0010_3.56PM.grating.ORxM;control;;3.5;;;;;;;;;;;;;;;;;;;
;;;1;ma_0010_4.00PM.grating.SFxM;control;;3.5;;;;;;;;;;;;;;;;;;;
;;;1;ma_0010_4.03PM.grating.ORxM;control;;3.5;;;;;;;;;;;;;;;;;;;
;;0011;1;ma_0010_4.20PM.grating.XPos;;;5;;;;;;1;;;;;;;;;;;;;
;;;1;ma_0010_4.21PM.grating.YPos;;;5;;;;;;;;;;;;;;;;;;;
;;;1;ma_0010_4.22PM.grating.ORxM;control;;5;;;;;;;;;;;;;;;;;;;
;;;1;ma_0010_4.26PM.grating.SFxM;control;;5;;;;;;;;;;;;;;;;;;;
;;;1;ma_0010_4.29PM.grating.TF.mat;control;;5;;;;;;;;;;;;;;;;;;;
;;;1;ma_0010_4.33PM.grating.ORxM;control;;5;;;;;;;;;;;;;;;;;;;
11/12/14;+3,-6;0012;1;ma_0012_1.37PM.grating.XPos;;;5;;;NaN;;;1;;;;;;;;;;;;;
;;;1;ma_0012_1.37PM.grating.YPos;;;5;;;;;;;;;;;;;;;;;;;
